No,Nama Lengkap,Prodi,Jenis Kelamin,Jarak Tempat Tinggal kesekolah(Km),Asal Sekolah,Tahun Lulus,SKS,Ikut Organisasi,Ikut UKM,IPK,Pekerjaan Orang Tua,Penghasilan,Tanggungan,Status Beasiswa,Status_KIP,Status_PKH
1.0,GALAN PRASETIO,Bimbingan dan Konseling | Reguler,L,Dekat,SMAN 1 GEDONG TATAAN,2020.0,21.0,Ikut,Ikut,3.57,Wiraswasta,Sedang,4.0,Terima,Ya,Tidak
2.0,FINGKY RANDIANSYAH,Bimbingan dan Konseling | Reguler,L,Dekat,SMK HAMPAR BAIDURI,2020.0,21.0,Tidak,Ikut,2.95,Buruh,Sedang,2.0,Tidak,Tidak,Tidak
3.0,ADELIA PANE,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020.0,21.0,Tidak,Ikut,3.67,Petani,Sedang,4.0,Terima,Tidak,Tidak
4.0,DWI HANDOKO,Bimbingan dan Konseling | Reguler,L,Dekat,SMA MA'ARIF NU BUMIRESTU,2020.0,21.0,Tidak,Ikut,3.19,Wiraswasta,Tinggi,2.0,Tidak,Ya,Tidak
5.0,DESTRI FERAWANTI GUSTINI,Bimbingan dan Konseling | Reguler,P,Jauh,SMA 2 NEGERI AGUNG,2020.0,21.0,Tidak,Ikut,3.19,Wiraswasta,Sedang,2.0,Tidak,Ya,Tidak
6.0,ANIS SETIYAWATI,Bimbingan dan Konseling | Reguler,P,Dekat,MA MATHLA'UL ANWAR,2020.0,21.0,Tidak,Ikut,3.78,Wiraswasta,Rendah,3.0,Terima,Tidak,Ya
7.0,DENDY FERNANDO,Bimbingan dan Konseling | Reguler,L,Dekat,MA MA'ARIF 4 KALIREJO,2020.0,21.0,Tidak,Ikut,3.33,Petani,Sedang,3.0,Tidak,Ya,Tidak
8.0,ALFIN M. YUNUS. S,Bimbingan dan Konseling | Reguler,L,Dekat,SMAN 1 KOTAAGUNG,2020.0,21.0,Tidak,Ikut,3.29,Petani,Rendah,1.0,Tidak,Ya,Ya
9.0,INTAN KHAIRUNNISA,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI,2020.0,21.0,Tidak,Ikut,3.48,Wiraswasta,Sedang,3.0,Tidak,Tidak,Ya
10.0,INDAH SEPTIANI,Bimbingan dan Konseling | Reguler,P,Dekat,SMK HAMPAR BAIDURI KALIANDA,2020.0,21.0,Tidak,Ikut,3.38,Pedagang,Sedang,1.0,Tidak,Tidak,Tidak
